site_id,year,month,interval_count_in,interval_count_out,max_interval_count_in,max_interval_count_out,mean_interval_count_in,mean_interval_count_out,min_interval_count_in,min_interval_count_out,total_count_in,total_count_out,zero_count_intervals_in,zero_count_intervals_out,weather_hours_available,avg_temperature_2m,min_temperature_2m,max_temperature_2m,avg_relative_humidity_2m,total_precipitation,total_rain,total_snowfall,avg_cloud_cover,avg_wind_speed_10m,most_common_weather_code,station_to_weather_grid_km,rainy_days,heavy_rain_days,frost_days,storm_days,bike_crash_count_1km,bike_crash_happened_1km,month_sin,month_cos
84,2022,11,2880,2880,22.0,20.0,2.0055555555555555,2.1506944444444445,0.0,0.0,5776.0,6194.0,1209,1179,720,8.956458333333332,2.3,16.35,87.82428648194444,104.6,104.6,0.0,73.01805555555555,16.809456228055556,3.0,2.4476685136351923,148,0,0,0,0.0,0,-0.5000000000000004,0.8660254037844384
84,2022,12,2976,2976,15.0,19.0,1.42002688172043,1.4573252688172043,0.0,0.0,4226.0,4337.0,1488,1485,744,3.831720430107527,-6.0,16.6,88.92053989247313,101.7,100.89999998,0.5600000199999999,77.5752688172043,14.648654646102152,3.0,2.4476685136351923,173,0,210,0,0.0,0,-2.4492935982947064e-16,1.0
84,2023,1,2976,2976,29.0,22.0,1.6129032258064515,1.679771505376344,0.0,0.0,4800.0,4999.0,1414,1380,744,5.508198924731183,-4.4,14.35,85.93135249327956,94.6,89.99999998,3.21999993,77.50403225806451,17.96871262876344,3.0,2.4476685136351923,175,0,85,0,0.0,0,0.49999999999999994,0.8660254037844387
84,2023,2,2688,2688,22.0,47.0,2.1436011904761907,2.2310267857142856,0.0,0.0,5762.0,5997.0,1099,1070,672,5.548735119047619,-4.5,11.5,84.32965496279762,9.700000000000001,9.1,0.42000000000000004,67.33482142857143,13.424112809732142,3.0,2.4476685136351923,52,0,60,0,0.0,0,0.8660254037844386,0.5000000000000001
84,2023,3,2972,2972,41.0,46.0,1.9912516823687751,2.0874831763122477,0.0,0.0,5918.0,6204.0,1249,1210,744,7.275873655913978,-2.15,16.6,80.46812236693549,141.7,129.499999904,8.54000006,80.81720430107526,17.150333961827958,3.0,2.4476685136351923,270,0,37,0,0.0,0,1.0,6.123233995736766e-17
84,2023,4,2880,2880,38.0,30.0,2.3006944444444444,2.3986111111111112,0.0,0.0,6626.0,6908.0,1166,1107,720,8.430486111111112,-2.55,17.3,77.36949779444444,77.4,77.4,0.0,65.86666666666666,13.960055181666666,3.0,2.4476685136351923,186,0,10,0,0.0,0,0.8660254037844387,-0.4999999999999998
84,2023,5,2976,2976,36.0,42.0,2.9086021505376345,3.0628360215053765,0.0,0.0,8656.0,9115.0,1016,1002,744,12.774327956989248,3.45,22.95,77.94358344354838,51.300000000000004,51.300000000000004,0.0,57.049731182795696,13.658328309946238,3.0,2.4476685136351923,95,0,0,0,0.0,0,0.49999999999999994,-0.8660254037844387
84,2023,6,2880,2880,71.0,69.0,4.1819444444444445,4.374305555555556,0.0,0.0,12044.0,12598.0,828,779,720,19.345208333333332,9.7,30.5,65.54887190833333,51.400000000000006,51.400000000000006,0.0,41.361111111111114,12.427529725694445,0.0,2.4476685136351923,48,1,0,0,0.0,0,1.2246467991473532e-16,-1.0
84,2023,7,2976,2976,23.0,43.0,2.62869623655914,2.842741935483871,0.0,0.0,7823.0,8460.0,1077,987,744,18.149327956989247,11.05,30.95,72.42578964919355,120.7,120.7,0.0,63.51209677419355,15.798509177392473,3.0,2.4476685136351923,177,0,0,0,0.0,0,-0.4999999999999997,-0.8660254037844388
84,2023,8,2976,2976,35.0,56.0,2.962029569892473,3.1421370967741935,0.0,0.0,8815.0,9351.0,1026,975,744,17.67701612903226,10.2,27.25,78.99943598521504,79.3,79.3,0.0,58.391129032258064,12.3504085797043,3.0,2.4476685136351923,170,0,0,0,2.0,1,-0.8660254037844385,-0.5000000000000004
84,2023,9,2880,2880,53.0,56.0,3.401388888888889,3.592013888888889,0.0,0.0,9796.0,10345.0,922,835,720,18.454166666666666,9.25,31.3,78.43978035833334,65.6,65.6,0.0,58.86944444444445,11.44917068,3.0,2.4476685136351923,76,0,0,0,0.0,0,-1.0,-1.8369701987210297e-16
84,2023,10,2976,2976,46.0,48.0,2.79872311827957,2.922043010752688,0.0,0.0,8329.0,8696.0,1115,1081,744,13.574126344086022,3.15,24.55,82.38538461559139,131.3,131.3,0.0,76.79704301075269,15.280107733198925,3.0,2.4476685136351923,192,0,0,0,0.0,0,-0.8660254037844386,0.5000000000000001
84,2023,11,2880,2880,27.0,30.0,1.8315972222222223,1.8631944444444444,0.0,0.0,5275.0,5366.0,1331,1283,720,7.977291666666666,-1.65,15.05,86.81760666944444,141.3,140.9,0.28,76.35833333333333,18.312100602222223,3.0,2.4476685136351923,253,0,12,1,0.0,0,-0.5000000000000004,0.8660254037844384
84,2023,12,2976,2976,23.0,18.0,1.5598118279569892,1.586021505376344,0.0,0.0,4642.0,4720.0,1445,1398,744,6.902620967741936,-5.1,12.8,86.77798949327956,86.2,81.80000003399999,3.08000001,81.41801075268818,19.11457279233871,3.0,2.4476685136351923,191,0,53,0,0.0,0,-2.4492935982947064e-16,1.0
84,2024,1,2976,2976,21.0,22.0,1.6414650537634408,1.7204301075268817,0.0,0.0,4885.0,5120.0,1432,1328,744,3.690456989247312,-5.9,12.95,82.27399614516129,70.1,64.799999958,3.7100000300000002,70.86021505376344,17.074541571774194,3.0,2.4476685136351923,145,0,196,0,0.0,0,0.49999999999999994,0.8660254037844387
84,2024,2,2784,2784,30.0,42.0,2.0808189655172415,2.219109195402299,0.0,0.0,5793.0,6178.0,1182,1103,696,8.29683908045977,1.35,16.55,87.11669975143678,113.4,112.80000009,0.42000000000000004,89.11494252873563,18.025267284626437,3.0,2.4476685136351923,200,0,0,0,0.0,0,0.8660254037844386,0.5000000000000001
84,2024,3,2972,2972,36.0,35.0,2.4141991924629878,2.571668909825034,0.0,0.0,7175.0,7643.0,1186,1111,744,8.518749999999999,0.1,17.1,81.35651127284946,85.4,85.29999995,0.07,80.31451612903226,14.0590466547043,3.0,2.4476685136351923,195,0,0,0,1.0,1,1.0,6.123233995736766e-17
84,2024,4,2880,2880,52.0,56.0,2.3024305555555555,2.477777777777778,0.0,0.0,6631.0,7136.0,1117,1064,720,10.487708333333332,0.85,22.4,75.98534438194444,93.1,92.5,0.42000001,76.85138888888889,17.124146351944447,3.0,2.4476685136351923,233,0,0,0,0.0,0,0.8660254037844387,-0.4999999999999998
84,2024,5,2976,2976,32.0,39.0,2.619287634408602,2.802755376344086,0.0,0.0,7795.0,8341.0,1089,998,744,14.311827956989248,5.2,25.0,81.03985631451613,106.10000000000001,106.10000000000001,0.0,71.23521505376344,11.624958884637097,3.0,2.4476685136351923,210,0,0,0,0.0,0,0.49999999999999994,-0.8660254037844387
84,2024,6,2880,2880,33.0,61.0,2.9972222222222222,3.303125,0.0,0.0,8632.0,9513.0,996,914,720,15.243055555555555,6.65,28.7,76.35038096666668,55.9,55.9,0.0,63.41111111111111,12.327892053333333,3.0,2.4476685136351923,146,0,0,0,0.0,0,1.2246467991473532e-16,-1.0
84,2024,7,2976,2976,25.0,37.0,2.921034946236559,3.1129032258064515,0.0,0.0,8693.0,9264.0,974,969,744,18.04590053763441,10.35,29.9,75.72774559408602,74.3,74.3,0.0,67.52822580645162,11.766743456989246,3.0,2.4476685136351923,154,0,0,0,1.0,1,-0.4999999999999997,-0.8660254037844388
84,2024,8,2976,2976,51.0,32.0,3.17002688172043,3.3639112903225805,0.0,0.0,9434.0,10011.0,961,944,744,19.365860215053765,11.5,33.7,74.38704043682796,53.8,53.8,0.0,61.586021505376344,12.221672575806451,3.0,2.4476685136351923,100,0,0,0,0.0,0,-0.8660254037844385,-0.5000000000000004
84,2024,9,2880,2880,30.0,107.0,2.942361111111111,3.1805555555555554,0.0,0.0,8474.0,9160.0,953,905,720,15.625208333333333,4.55,30.8,80.57934919027777,93.9,93.9,0.0,62.84444444444444,13.919146683430556,3.0,2.4476685136351923,155,0,0,0,0.0,0,-1.0,-1.8369701987210297e-16
84,2024,10,2976,2976,31.0,41.0,2.770497311827957,2.823252688172043,0.0,0.0,8245.0,8402.0,1097,1077,744,12.398655913978494,4.4,22.75,85.70630315591397,58.5,58.5,0.0,68.06317204301075,12.007143406989247,3.0,2.4476685136351923,119,0,0,0,0.0,0,-0.8660254037844386,0.5000000000000001
84,2024,11,2880,2880,22.0,21.0,2.0743055555555556,2.096875,0.0,0.0,5974.0,6039.0,1156,1147,720,7.643333333333333,-0.6,17.9,86.13606685833332,61.3,59.40000022,1.33000002,80.94027777777778,12.389985789333334,3.0,2.4476685136351923,113,0,6,0,1.0,1,-0.5000000000000004,0.8660254037844384
