crash_row_id,site_id,site_name,site_gemeente,site_lat,site_long,distance_km,crash_lat,crash_long,DT_YEAR_COLLISION,DT_MONTH_COLLISION,DT_TIME,CD_NIS,TX_MUNTY_COLLISION_NL,TX_WEATHER_NL,TX_ROAD_CONDITION_NL,TX_LIGHT_CONDITION_NL,TX_CLASS_ACCIDENTS_NL,CD_ROAD_USR_TYPE1,TX_ROAD_USR_TYPE1_NL,CD_ROAD_USR_TYPE2,TX_ROAD_USR_TYPE2_NL,TX_CROSSWAY_NL,CD_ROAD_TYPE_NL,TX_BUILD_UP_AREA_NL,TX_COLLISION_TYPE_NL,TX_OBSTACLES_NL
296,99,Mechelen teller 1,Mechelen,51.04564,4.46882,0.6165650018928265,51.04043691322523,4.471868532623651,2017,1,16,12025,Mechelen,Normaal,Droog,Dageraad - schemering,met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
296,100,Mechelen teller 2,Mechelen,51.0457,4.46883,0.6225907529960342,51.04043691322523,4.471868532623651,2017,1,16,12025,Mechelen,Normaal,Droog,Dageraad - schemering,met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
298,100,Mechelen teller 2,Mechelen,51.0457,4.46883,0.19962810189358912,51.047399028365824,4.467907445179255,2017,1,7,12025,Mechelen,Normaal,Droog,Dageraad - schemering,met lichtgewonden,9,personenauto,3,Fiets,Op Kruispunt,Gewestweg,buiten bebouwde kom,Tussen 2 bestuurders: Frontale botsing,Geen hindernis
298,99,Mechelen teller 1,Mechelen,51.04564,4.46882,0.20573549087624338,51.047399028365824,4.467907445179255,2017,1,7,12025,Mechelen,Normaal,Droog,Dageraad - schemering,met lichtgewonden,9,personenauto,3,Fiets,Op Kruispunt,Gewestweg,buiten bebouwde kom,Tussen 2 bestuurders: Frontale botsing,Geen hindernis
301,140,Hasselt ring,Hasselt,50.9300038,5.3438616,0.795207671817856,50.923289596764036,5.339955094381133,2017,1,10,71022,Hasselt,Normaal,Droog+Proper,Dag,met zwaargewonden,9,personenauto,3,Fiets,Op Kruispunt,Gewestweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
412,69,Leuven teller 1,Leuven,50.87549,4.71526,0.439194109024113,50.8725285820257,4.719401742376419,2017,2,14,24062,Leuven,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto,Op Kruispunt,Gewestweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
413,151,Leuven,District Leuven,50.8690262,4.6854839,0.6877474487571766,50.87409309166783,4.691104679154386,2017,2,13,24062,Leuven,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets,Op Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
414,69,Leuven teller 1,Leuven,50.87549,4.71526,0.4654848715540379,50.87890996197309,4.719086024727672,2017,2,16,24062,Leuven,Onbekend,Onbekend,Dag,met lichtgewonden,3,Fiets,9,personenauto,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
415,77,Leuven teller 2,Leuven,50.88672,4.70796,0.4194991113712179,50.88676277894048,4.701980176792318,2017,2,22,24062,Leuven,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,9,personenauto,3,Fiets,Op Kruispunt,Gemeenteweg,binnen bebouwde kom,Tussen 2 bestuurders: Frontale botsing,Geen hindernis
415,107,leuven totem,Leuven,50.8870744,4.7087919,0.4790811152442494,50.88676277894048,4.701980176792318,2017,2,22,24062,Leuven,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,9,personenauto,3,Fiets,Op Kruispunt,Gemeenteweg,binnen bebouwde kom,Tussen 2 bestuurders: Frontale botsing,Geen hindernis
416,151,Leuven,District Leuven,50.8690262,4.6854839,0.7260881918515228,50.86669839205215,4.6951507564917305,2017,2,14,24062,Leuven,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
418,151,Leuven,District Leuven,50.8690262,4.6854839,0.9383305999639739,50.86850488148202,4.698829658031773,2017,2,10,24062,Leuven,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto,Op Kruispunt,Gewestweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
422,23,Tienen 3,Tienen,50.81324,4.93447,0.45173793630825954,50.80919498332195,4.9338728580358895,2017,2,18,24107,Tienen,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
422,24,Tienen 1,Tienen,50.8133795491886,4.935044252605416,0.4725254967877279,50.80919498332195,4.9338728580358895,2017,2,18,24107,Tienen,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
422,22,Tienen 2,Tienen,50.81330800184882,4.935984252796022,0.4808053240656536,50.80919498332195,4.9338728580358895,2017,2,18,24107,Tienen,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
433,27,Grimbergen,Meise,50.92127,4.34013,0.3687714128294511,50.923665697299136,4.3364919203466,2017,2,7,23050,Meise,Normaal,Droog,Dageraad - schemering,met lichtgewonden,3,Fiets,9,personenauto,Op Kruispunt,Gewestweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
441,13,Gent,Gent,51.03018,3.70146,0.75844458163773,51.025848365529534,3.7098373807539122,2017,2,9,44021,Gent,Normaal,"Nat, plassen+Proper",Dag,met zwaargewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
495,116,Melle teller 2,Melle,50.9986113,3.8040599,0.7443189176916304,51.0037379284291,3.810899289612013,2017,2,18,44013,Destelbergen,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met zwaargewonden,9,personenauto,3,Fiets,Op Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
495,117,Melle teller 1,Melle,50.9986113,3.8040599,0.7443189176916304,51.0037379284291,3.810899289612013,2017,2,18,44013,Destelbergen,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met zwaargewonden,9,personenauto,3,Fiets,Op Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
498,114,Deinze teller 1,Nazareth,50.9598305,3.555502,0.29450029775731296,50.959475002783165,3.5513351903633463,2017,2,4,44083,Deinze,Normaal,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,4,Vrachtwagen,3,Fiets,Op Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
