site_id,site_name,site_gemeente,bike_crash_count_250m,nearest_crash_distance_km,average_crash_distance_km
11,Aalst 3,Aalst,1,0.06176513268917769,0.06176513268917769
127,Geel totem,Westerlo,1,0.23958405816516976,0.23958405816516976
34,Heers teller 1,Heers,1,0.16947976313789306,0.16947976313789306
103,Malle teller 1,Malle,1,0.22694534139283465,0.22694534139283465
35,Lanaken teller 1,Lanaken,1,0.23383814701900316,0.23383814701900316
39,Peer teller 1,Peer,1,0.19687785503830854,0.19687785503830854
40,Peer teller 2,Peer,1,0.2477527759015075,0.2477527759015075
85,Asse teller 1,Asse,1,0.24214427931159732,0.24214427931159732
57,Meulebeke teller 1,Meulebeke,1,0.11122304491530548,0.11122304491530548
58,Meulebeke teller 2,Meulebeke,1,0.14745839361951682,0.14745839361951682
117,Melle teller 1,Melle,1,0.19925192363540806,0.19925192363540806
116,Melle teller 2,Melle,1,0.19925192363540806,0.19925192363540806
83,Beersel teller 2,Beersel,1,0.04210945741063776,0.04210945741063776
82,Beersel teller 1,Beersel,1,0.09529333594974562,0.09529333594974562
70,Kampenhout teller 1,Kampenhout,1,0.1901865516471831,0.1901865516471831
111,Zaventem totem,Zaventem,1,0.18138236560655402,0.18138236560655402
76,Heverlee teller 2,Leuven,1,0.0977861161812554,0.0977861161812554
152,Opwijk,District Vilvoorde-gewestwegen,1,0.08082439130923798,0.08082439130923798
