group_id,months_observed,total_crashes,average_monthly_crashes,total_cyclists,average_monthly_cyclists,crash_month_share,crashes_per_10000_cyclists,smoothed_crashes_per_10000_cyclists,group_name,gemeente,lat,long,member_site_count,member_site_ids,historical_risk_rank
69,30,26.0,0.8666666666666667,1469926.0,48997.53333333333,0.6333333333333333,0.17687965244508908,0.17745442694110103,Mechelen teller 1,Mechelen,51.04567,4.468825,2,"99,100",45
32,32,6.0,0.1875,349708.0,10928.375,0.1875,0.17157171125624807,0.17413714587087128,Bokrijk,Genk,50.95264,5.41001,1,49,46
50,30,10.0,0.3333333333333333,623996.0,20799.866666666665,0.26666666666666666,0.1602574375476766,0.1620016729685422,Kampenhout teller 1,Kampenhout,50.956355,4.59241,2,"70,71",47
49,30,7.0,0.23333333333333334,450848.0,15028.266666666666,0.2,0.1552629711122152,0.1578231365795835,Roeselare totem,Izegem,50.91717,3.18772,1,84,48
63,33,8.0,0.24242424242424243,524632.0,15897.939393939394,0.18181818181818182,0.15248783909483218,0.1547793732500906,Lommel teller 1,Lommel,51.23288,5.292,2,"37,38",49
31,30,9.0,0.3,639735.0,21324.5,0.23333333333333334,0.14068325165889,0.14285619744801586,Geel teller 1,Geel,51.148115,4.996705,2,"97,98",50
64,33,2.0,0.06060606060606061,152928.0,4634.181818181818,0.06060606060606061,0.13078049801213643,0.14014939082436534,Lummen,Lummen,50.979745,5.209485,2,"32,33",51
20,24,3.0,0.125,226947.0,9456.125,0.125,0.13218945392536582,0.1386095946947736,Nevele,Deinze,51.0276612,3.558569,1,131,52
46,33,10.0,0.30303030303030304,735152.0,22277.333333333332,0.2727272727272727,0.1360262911615557,0.13802085771814465,Herk De Stad,Herk-de-Stad,50.9437,5.177205000000001,2,"30,31",53
5,32,8.0,0.25,600156.0,18754.875,0.21875,0.13329867567765713,0.13580020017370856,As,As,51.00509,5.60389,1,48,54
70,41,5.0,0.12195121951219512,382458.0,9328.243902439024,0.12195121951219512,0.13073330927840443,0.1347038933294905,Grimbergen,Meise,50.92127,4.34013,1,27,55
39,21,32.0,1.5238095238095237,2393731.0,113987.19047619047,0.7619047619047619,0.13368252322420524,0.13431945361466108,Hasselt-Kempische brug,Hasselt,50.94084615,5.3420024,2,"137,138",56
74,31,20.0,0.6451612903225806,1666282.0,53751.032258064515,0.3548387096774194,0.12002770239371247,0.12106802407907401,Nieuwpoort totem,Nieuwpoort,51.134995,2.74329,2,"63,66",57
19,28,2.0,0.07142857142857142,190038.0,6787.071428571428,0.07142857142857142,0.10524210947284228,0.11487718620771788,Deinze teller 2,Deinze,50.96018,3.55578,1,113,58
