site_id,year,month,predicted_probability,predicted_label,radius_key,radius_label,naam,gemeente,datum_van,long,lat,forecast_risk_rank,risk_label
68,2024,11,0.0715081485022843,0,500m,500 m,Ieper,Ieper,2022-06-30,2.85608,50.85032,118,Lower risk
38,2024,11,0.06838522570542782,0,500m,500 m,Lommel teller 2,Lommel,2022-04-20,5.29189,51.23277,119,Lower risk
37,2024,11,0.06722280686540759,0,500m,500 m,Lommel teller 1,Lommel,2022-04-20,5.29211,51.23299,120,Lower risk
82,2024,11,0.0649198437492687,0,500m,500 m,Beersel teller 1,Beersel,2022-07-13,4.33336,50.75128,121,Lower risk
76,2024,11,0.06390299309346158,0,500m,500 m,Heverlee teller 2,Leuven,2022-07-07,4.69597,50.84606,122,Lower risk
104,2024,11,0.06269625514111335,0,500m,500 m,Malle teller 2,Malle,2022-08-03,4.73852,51.31682,123,Lower risk
51,2024,11,0.05818801224236325,0,500m,500 m,"Brugge, Sint-Andries",Brugge,2022-06-01,3.16252,51.19281,124,Lower risk
35,2024,11,0.058060077086454706,0,500m,500 m,Lanaken teller 1,Lanaken,2022-04-15,5.6314,50.88112,125,Lower risk
92,2024,11,0.05740282751307132,0,500m,500 m,Nijlen teller 1,Nijlen,2022-07-24,4.64479,51.14989,126,Lower risk
93,2024,11,0.05661264350220177,0,500m,500 m,Nijlen teller 2,Nijlen,2022-07-24,4.64469,51.14998,127,Lower risk
32,2024,11,0.05507400532195346,0,500m,500 m,Lummen,Lummen,2022-04-14,5.20961,50.97971,128,Lower risk
40,2024,11,0.05299871332213684,0,500m,500 m,Peer teller 2,Peer,2022-04-20,5.47892,51.13438,129,Lower risk
33,2024,11,0.052174670906390684,0,500m,500 m,Lummen,Lummen,2022-04-14,5.20936,50.97978,130,Lower risk
134,2024,11,0.0506556953584743,0,500m,500 m,Retie,Dessel,2023-02-15,5.1037658,51.2548405,131,Lower risk
135,2024,11,0.049689937799892496,0,500m,500 m,Retie 2,Dessel,2023-02-15,5.1040064,51.2544998,132,Lower risk
36,2024,11,0.04925347309919383,0,500m,500 m,Lanaken teller 2,Lanaken,2022-04-15,5.63012,50.88131,133,Lower risk
103,2024,11,0.04909983126556173,0,500m,500 m,Malle teller 1,Malle,2022-08-03,4.73872,51.31681,134,Lower risk
133,2024,11,0.04550635457591927,0,500m,500 m,Gierde Lille Totem,Lille,2023-02-15,4.8297416,51.2453915,135,Lower risk
124,2024,11,0.043410053240137116,0,500m,500 m,Beveren teller 2,Beveren,2022-10-06,4.2361077,51.1964712,136,Lower risk
39,2024,11,0.043024089470469214,0,500m,500 m,Peer teller 1,Peer,2022-04-20,5.47817,51.13425,137,Lower risk
105,2024,11,0.037591540403936474,0,500m,500 m,St. pieters leeuw teller 2,Halle,2022-08-04,4.24943,50.75509,138,Lower risk
90,2024,11,0.03729509064532362,0,500m,500 m,Brecht teller 1,Brecht,2022-07-21,4.6243,51.35752,139,Lower risk
91,2024,11,0.02891602989367263,0,500m,500 m,Brecht teller 2,Brecht,2022-07-21,4.62422,51.35739,140,Lower risk
132,2024,11,0.02804303905312706,0,500m,500 m,Gierde lille,Lille,2023-02-15,4.8298851,51.245445,141,Lower risk
