site_id,months_observed,total_crashes,average_monthly_crashes,total_cyclists,average_monthly_cyclists,crash_month_share,crashes_per_10000_cyclists,smoothed_crashes_per_10000_cyclists,radius_key,radius_label,site_nr,long,lat,naam,gemeente,datum_van,historical_risk_rank
2,62,609.0,9.82258064516129,1274996.0,20564.451612903227,1.0,4.776485573288073,4.77551634368929,2_5km,2.5 km,100052862,4.47169,51.27512,Brasschaat 2,Brasschaat,2019-08-22,65
98,29,143.0,4.931034482758621,304024.0,10483.586206896553,0.9655172413793104,4.703576033471042,4.701883981446149,2_5km,2.5 km,300026111,4.99643,51.1481,Geel teller 2,Geel,2022-07-26,66
124,25,107.0,4.28,228990.0,9159.6,1.0,4.672693130704397,4.671736392130298,2_5km,2.5 km,300027967,4.2361077,51.1964712,Beveren teller 2,Beveren,2022-10-06,67
97,29,143.0,4.931034482758621,309891.0,10685.896551724138,0.9655172413793104,4.614525752603335,4.615593609382353,2_5km,2.5 km,300026110,4.99698,51.14813,Geel teller 1,Geel,2022-07-26,68
12,49,234.0,4.775510204081633,516383.0,10538.42857142857,1.0,4.531520208837239,4.533714411145667,2_5km,2.5 km,100052872,4.47803,50.81896,Tervuren,Kraainem,2019-08-22,69
72,29,92.0,3.1724137931034484,205046.0,7070.551724137931,0.896551724137931,4.486798084332296,4.494211257080984,2_5km,2.5 km,300025575,4.64689,50.89135,Herent teller 1,Herent,2022-07-07,70
84,29,193.0,6.655172413793103,434201.0,14972.448275862069,1.0,4.444946004269912,4.449456544235995,2_5km,2.5 km,300025814,3.18772,50.91717,Roeselare totem,Izegem,2022-07-13,71
24,62,278.0,4.483870967741935,626183.0,10099.725806451614,1.0,4.439596731306982,4.442828081721849,2_5km,2.5 km,100052882,4.935044252605416,50.8133795491886,Tienen 1,Tienen,2019-08-31,72
29,31,48.0,1.5483870967741935,109486.0,3531.8064516129034,0.7741935483870968,4.384122170871161,4.405906834610452,2_5km,2.5 km,300023449,5.52825,50.79286,Tongeren,Tongeren,2022-04-14,73
21,62,199.0,3.2096774193548385,462798.0,7464.4838709677415,0.9354838709677419,4.299932151824338,4.3071757754257005,2_5km,2.5 km,100052875,5.50161,50.86015,Bilzen,Bilzen,2019-08-31,74
117,27,119.0,4.407407407407407,279684.0,10358.666666666666,0.9629629629629629,4.254801847799659,4.268154787626183,2_5km,2.5 km,300027879,3.8040599,50.9986113,Melle teller 1,Melle,2022-10-01,75
126,26,148.0,5.6923076923076925,359530.0,13828.076923076924,1.0,4.116485411509471,4.130620418517006,2_5km,2.5 km,300028358,4.1469307,51.1017709,Hamme totem,Hamme,2022-10-25,76
20,62,437.0,7.048387096774194,1064138.0,17163.516129032258,1.0,4.106610232883329,4.1115613494113665,2_5km,2.5 km,100052884,3.20048,51.17416,Brugge,Brugge,2019-08-22,77
121,26,111.0,4.269230769230769,277530.0,10674.23076923077,1.0,3.999567614311966,4.021722959766751,2_5km,2.5 km,300027923,4.0556696,51.0604067,Zele teller 2,Zele,2022-10-05,78
22,62,279.0,4.5,711576.0,11477.032258064517,1.0,3.9208742284731355,3.9307675049983484,2_5km,2.5 km,100052876,4.935984252796022,50.81330800184882,Tienen 2,Tienen,2019-08-31,79
4,62,104.0,1.6774193548387097,266711.0,4301.790322580645,0.7903225806451613,3.8993517327744263,3.925924548156637,2_5km,2.5 km,100052864,5.19011,51.16023,Balen 1,Balen,2019-08-22,80
57,29,33.0,1.1379310344827587,86206.0,2972.6206896551726,0.6896551724137931,3.828039811614041,3.9118521080119923,2_5km,2.5 km,300024549,3.24491,50.96056,Meulebeke teller 1,Meulebeke,2022-06-03,81
8,62,211.0,3.403225806451613,552929.0,8918.209677419354,0.967741935483871,3.8160414809134626,3.8305489657024983,2_5km,2.5 km,100052868,4.68823,51.06759,Heist op den Berg 1,Heist-op-den-Berg,2019-08-22,82
83,29,21.0,0.7241379310344828,58543.0,2018.7241379310344,0.5862068965517241,3.587106912867465,3.7393832556489484,2_5km,2.5 km,300025813,4.33304,50.75175,Beersel teller 2,Beersel,2022-07-13,83
82,29,20.0,0.6896551724137931,56526.0,1949.1724137931035,0.5862068965517241,3.5381948130064043,3.702326993093163,2_5km,2.5 km,300025812,4.33336,50.75128,Beersel teller 1,Beersel,2022-07-13,84
5,62,104.0,1.6774193548387097,298175.0,4809.274193548387,0.7903225806451613,3.4878846315083423,3.5248312976993694,2_5km,2.5 km,100052865,5.19003,51.16018,Balen 2,Balen,2019-08-22,85
103,28,48.0,1.7142857142857142,141910.0,5068.214285714285,0.7857142857142857,3.382425480938623,3.4642390536952683,2_5km,2.5 km,300026302,4.73872,51.31681,Malle teller 1,Malle,2022-08-03,86
9,62,224.0,3.6129032258064515,666557.0,10750.91935483871,0.967741935483871,3.360552810937399,3.379220454983113,2_5km,2.5 km,100052869,4.69524,51.06904,Heist op den Berg 2,Heist-op-den-Berg,2019-08-22,87
92,29,86.0,2.9655172413793105,261831.0,9028.655172413793,0.9310344827586207,3.284561415569585,3.3337846204799635,2_5km,2.5 km,300026086,4.64479,51.14989,Nijlen teller 1,Nijlen,2022-07-24,88
104,28,48.0,1.7142857142857142,149240.0,5330.0,0.7857142857142857,3.2162958992227284,3.304572107657181,2_5km,2.5 km,300026303,4.73852,51.31682,Malle teller 2,Malle,2022-08-03,89
93,29,86.0,2.9655172413793105,268285.0,9251.206896551725,0.9310344827586207,3.2055463406452094,3.2564107356995025,2_5km,2.5 km,300026087,4.64469,51.14998,Nijlen teller 2,Nijlen,2022-07-24,90
69,29,637.0,21.96551724137931,1993799.0,68751.68965517242,1.0,3.194905805449797,3.202017364283071,2_5km,2.5 km,300025572,4.71526,50.87549,Leuven teller 1,Leuven,2022-07-07,91
88,29,71.0,2.4482758620689653,238102.0,8210.413793103447,0.8620689655172413,2.9819153136050938,3.0478102207129982,2_5km,2.5 km,300025933,4.91325,51.082,Westerlo teller 1,Westerlo,2022-07-16,92
39,31,50.0,1.6129032258064515,171147.0,5520.870967741936,0.7741935483870968,2.92146517321367,3.0150161901335015,2_5km,2.5 km,300023529,5.47817,51.13425,Peer teller 1,Peer,2022-04-20,93
36,31,59.0,1.903225806451613,203556.0,6566.322580645161,0.8064516129032258,2.8984652871936962,2.978861658520154,2_5km,2.5 km,300023488,5.63012,50.88131,Lanaken teller 2,Lanaken,2022-04-15,94
50,30,126.0,4.2,430694.0,14356.466666666667,1.0,2.925510919585599,2.9638495767773,2_5km,2.5 km,300024454,3.16252,51.19291,"Brugge, Sint-Andries",Brugge,2022-06-01,95
87,29,177.0,6.103448275862069,639625.0,22056.03448275862,1.0,2.7672464334571036,2.7956382441902847,2_5km,2.5 km,300025932,4.81259,50.99084,Aarschot,Aarschot,2022-07-16,96
139,20,73.0,3.65,267754.0,13387.7,0.95,2.7263831726136676,2.7942575567308334,2_5km,2.5 km,300031607,5.3819796,51.0644267,Houthalen-Helchteren,Houthalen-Helchteren,2023-04-21,97
61,29,116.0,4.0,426100.0,14693.103448275862,0.9655172413793104,2.722365641868106,2.76567392029856,2_5km,2.5 km,300024592,3.0921,50.80555,Wervik teller 2,Wervik,2022-06-05,98
40,31,49.0,1.5806451612903225,185712.0,5990.709677419355,0.7741935483870968,2.6384940122339966,2.7392547229374746,2_5km,2.5 km,300023530,5.47892,51.13438,Peer teller 2,Peer,2022-04-20,99
100,29,348.0,12.0,1304366.0,44978.137931034486,1.0,2.667962826384619,2.682733362121824,2_5km,2.5 km,300026137,4.46883,51.0457,Mechelen teller 2,Mechelen,2022-07-28,100
140,19,291.0,15.31578947368421,1094415.0,57600.78947368421,1.0,2.6589547840627183,2.6766136577996344,2_5km,2.5 km,300031927,5.3438616,50.9300038,Hasselt ring,Hasselt,2023-05-04,101
62,29,112.0,3.8620689655172415,425723.0,14680.103448275862,0.9655172413793104,2.6308186308937973,2.676223640960787,2_5km,2.5 km,300024594,3.09154,50.8058,Wervik teller 1,Wervik,2022-06-05,102
90,29,39.0,1.3448275862068966,155863.0,5374.586206896552,0.7931034482758621,2.5021974426258957,2.6291735879887437,2_5km,2.5 km,300026025,4.6243,51.35752,Brecht teller 1,Brecht,2022-07-21,103
134,22,60.0,2.727272727272727,236494.0,10749.727272727272,0.9545454545454546,2.5370622510507665,2.621081941850868,2_5km,2.5 km,300030476,5.1037658,51.2548405,Retie,Dessel,2023-02-15,104
135,22,59.0,2.6818181818181817,234345.0,10652.045454545454,0.9545454545454546,2.5176555932492692,2.6031935660238887,2_5km,2.5 km,300030477,5.1040064,51.2544998,Retie 2,Dessel,2023-02-15,105
91,29,39.0,1.3448275862068966,158001.0,5448.310344827586,0.7931034482758621,2.468338807982228,2.5956738449584846,2_5km,2.5 km,300026026,4.62422,51.35739,Brecht teller 2,Brecht,2022-07-21,106
108,28,156.0,5.571428571428571,626931.0,22390.39285714286,1.0,2.488312110902157,2.521561550269811,2_5km,2.5 km,300026820,4.6954674,50.8471728,Heverlee teller 1,Leuven,2022-08-25,107
23,62,278.0,4.483870967741935,1114564.0,17976.83870967742,1.0,2.4942488722047367,2.513026366542956,2_5km,2.5 km,100052877,4.93447,50.81324,Tienen 3,Tienen,2019-08-31,108
70,29,71.0,2.4482758620689653,294571.0,10157.620689655172,0.9655172413793104,2.410284787029273,2.482353017320907,2_5km,2.5 km,300025573,4.59318,50.95682,Kampenhout teller 1,Kampenhout,2022-07-07,109
127,26,89.0,3.423076923076923,370909.0,14265.73076923077,0.9615384615384616,2.399510392036861,2.4574049547469663,2_5km,2.5 km,300028385,4.9400421,51.1342966,Geel totem,Westerlo,2022-10-26,110
125,26,224.0,8.615384615384615,931966.0,35844.846153846156,1.0,2.4035211584971985,2.4268831918869367,2_5km,2.5 km,300028325,4.1025998,51.0372706,Dendermonde totem,Dendermonde,2022-10-22,111
51,30,127.0,4.233333333333333,545337.0,18177.9,1.0,2.3288351973183556,2.3697859740034084,2_5km,2.5 km,300024455,3.16252,51.19281,"Brugge, Sint-Andries",Brugge,2022-06-01,112
137,20,262.0,13.1,1120640.0,56032.0,1.0,2.3379497430039975,2.3579808171440155,2_5km,2.5 km,300031561,5.3417576,50.9411605,Hasselt-Kempische brug,Hasselt,2023-04-19,113
71,29,70.0,2.413793103448276,306965.0,10585.0,0.9655172413793104,2.2803902725066374,2.353655927249433,2_5km,2.5 km,300025574,4.59164,50.95589,Kampenhout teller 2,Kampenhout,2022-07-07,114
138,20,265.0,13.25,1139955.0,56997.75,1.0,2.324653166133751,2.3444610265778483,2_5km,2.5 km,300031574,5.3422472,50.9405318,Hasselt-Kempische brug,Hasselt,2023-04-20,115
