site_id,year,month,predicted_probability,predicted_label,predicted_count,forecast_risk_score,naam,gemeente,datum_van,forecast_risk_rank
94,2024,11,0.3723067296983782,0.0,0.3547615735068452,0.4787234042553191,Herentals teller 2,Herentals,2022-07-24,76
119,2024,11,0.2373576180442106,0.0,0.5999351929083538,0.4787234042553191,Gent teller 2,Gent,2022-10-04,77
51,2024,11,0.320657456506898,0.0,0.3777501591523646,0.4716312056737589,"Brugge, Sint-Andries",Brugge,2022-06-01,78
12,2024,11,0.0439252564859008,0.0,0.8352519937571514,0.4645390070921986,Tervuren,Kraainem,2019-08-22,79
74,2024,11,0.3475161224878269,0.0,0.3559560218077783,0.450354609929078,Kortrijk teller 1,Kortrijk,2022-07-07,80
10,2024,11,0.4119706723234804,0.0,0.3386807945680044,0.43971631205673756,Aalst 2,Aalst,2019-08-22,81
8,2024,11,0.4519113780301044,0.0,0.3077416790431106,0.4326241134751773,Heist op den Berg 1,Heist-op-den-Berg,2019-08-22,82
29,2024,11,0.4523972491172304,0.0,0.3059076343895671,0.42907801418439717,Tongeren,Tongeren,2022-04-14,83
63,2024,11,0.3685401265993441,0.0,0.3393113134372363,0.425531914893617,Nieuwpoort teller 3,Nieuwpoort,2022-06-24,84
49,2024,11,0.3424114370789771,0.0,0.3496876283745352,0.4219858156028369,Bokrijk,Genk,2022-06-01,85
44,2024,11,0.4207305763420128,0.0,0.2993976195607841,0.3900709219858156,Maaseik teller 2,Maaseik,2022-04-28,86
66,2024,11,0.357988170986552,0.0,0.3233949626577019,0.38652482269503546,Nieuwpoort totem,Nieuwpoort,2022-06-30,87
136,2024,11,0.2735701739711178,0.0,0.3715293692217799,0.38652482269503546,Gent R4,Gent,2023-03-01,88
9,2024,11,0.3170518246628107,0.0,0.3246364136561754,0.3617021276595745,Heist op den Berg 2,Heist-op-den-Berg,2019-08-22,89
28,2024,11,0.3303121795237051,0.0,0.3150406955078304,0.35106382978723405,Heers,Heers,2022-04-14,90
134,2024,11,0.2590322787868349,0.0,0.3570547121553346,0.34397163120567376,Retie,Dessel,2023-02-15,91
35,2024,11,0.3628847249221682,0.0,0.2957401492924008,0.3404255319148936,Lanaken teller 1,Lanaken,2022-04-15,92
57,2024,11,0.3126923327522954,0.0,0.3171397553938302,0.3404255319148936,Meulebeke teller 1,Meulebeke,2022-06-03,93
139,2024,11,0.2943355043395037,0.0,0.335776638355568,0.33687943262411346,Houthalen-Helchteren,Houthalen-Helchteren,2023-04-21,94
84,2024,11,0.2786373481268754,0.0,0.3461368576336909,0.33687943262411346,Roeselare totem,Izegem,2022-07-13,95
121,2024,11,0.2577544502354534,0.0,0.3559732875578783,0.33687943262411346,Zele teller 2,Zele,2022-10-05,96
95,2024,11,0.3921670890223007,0.0,0.2840405917791647,0.326241134751773,Lier teller 1,Lier,2022-07-26,97
31,2024,11,0.3676559869201106,0.0,0.2859462140114031,0.3226950354609929,Herk De Stad,Herk-de-Stad,2022-04-14,98
59,2024,11,0.2740473121968594,0.0,0.3424709358778123,0.3120567375886525,Ardooie teller 1,Ardooie,2022-06-03,99
30,2024,11,0.299979590252004,0.0,0.308192094014704,0.3049645390070922,Herk De Stad,Herk-de-Stad,2022-04-14,100
50,2024,11,0.305575429478776,0.0,0.3008912699023112,0.2978723404255319,"Brugge, Sint-Andries",Brugge,2022-06-01,101
123,2024,11,0.0200573113457534,0.0,0.3847922863421119,0.2978723404255319,Beveren teller 1,Beveren,2022-10-06,102
58,2024,11,0.2923961848707925,0.0,0.3066249928281285,0.2907801418439716,Meulebeke teller 2,Meulebeke,2022-06-03,103
34,2024,11,0.2754657898631313,0.0,0.318291596317613,0.2907801418439716,Heers teller 1,Heers,2022-04-15,104
61,2024,11,0.3316500264895736,0.0,0.2856147091873455,0.2801418439716312,Wervik teller 2,Wervik,2022-06-05,105
68,2024,11,0.2730946900911616,0.0,0.3102977122007858,0.2624113475177305,Ieper,Ieper,2022-06-30,106
67,2024,11,0.3148821505671222,0.0,0.2820358304437839,0.25531914893617025,Ieper totem,Ieper,2022-06-30,107
56,2024,11,0.2729409717128808,0.0,0.3100395267158519,0.25531914893617025,Torhout teller 2,Torhout,2022-06-02,108
62,2024,11,0.3103924533840502,0.0,0.2840078675935489,0.25177304964539005,Wervik teller 1,Wervik,2022-06-05,109
131,2024,11,0.2768289943137196,0.0,0.2992887073790027,0.25177304964539005,Nevele,Deinze,2023-01-25,110
96,2024,11,0.237606731618765,0.0,0.3271266158459151,0.24468085106382978,Lier teller 2,Lier,2022-07-26,111
79,2024,11,0.3059023456746447,0.0,0.2806761153524879,0.24113475177304963,Pepingen teller 2,Pepingen,2022-07-13,112
113,2024,11,0.2874986879136211,0.0,0.2874418851922432,0.2375886524822695,Deinze teller 2,Deinze,2022-09-21,113
55,2024,11,0.2677694302163868,0.0,0.3008995712629662,0.23404255319148937,Torhout teller 1,Torhout,2022-06-02,114
135,2024,11,0.2814694204529112,0.0,0.2858404690789645,0.22695035460992907,Retie 2,Dessel,2023-02-15,115
33,2024,11,0.302205057197412,0.0,0.2710823683510122,0.2127659574468085,Lummen,Lummen,2022-04-14,116
91,2024,11,0.260613830983561,0.0,0.2878146557080871,0.19858156028368795,Brecht teller 2,Brecht,2022-07-21,117
81,2024,11,0.3011977965243979,0.0,0.2640594185067062,0.1879432624113475,Wemmel teller 2,Wemmel,2022-07-13,118
106,2024,11,0.2911780406152428,0.0,0.2678427966504602,0.1879432624113475,St. pieters leeuw teller 1,Sint-Pieters-Leeuw,2022-08-04,119
36,2024,11,0.2750317162739583,0.0,0.2801522451633438,0.1879432624113475,Lanaken teller 2,Lanaken,2022-04-15,120
90,2024,11,0.2573168708064017,0.0,0.2875161919281731,0.18439716312056736,Brecht teller 1,Brecht,2022-07-21,121
93,2024,11,0.2302878603220598,0.0,0.2920076421040865,0.16666666666666669,Nijlen teller 2,Nijlen,2022-07-24,122
97,2024,11,0.2806343801457598,0.0,0.2643763070401725,0.16666666666666666,Geel teller 1,Geel,2022-07-26,123
92,2024,11,0.2137641332422849,0.0,0.289271927691937,0.1524822695035461,Nijlen teller 1,Nijlen,2022-07-24,124
98,2024,11,0.2735982298819756,0.0,0.2660940310219056,0.14893617021276595,Geel teller 2,Geel,2022-07-26,125
120,2024,11,0.1939206248405248,0.0,0.2990669891771171,0.14893617021276595,Zele teller 1,Zele,2022-10-05,126
86,2024,11,0.2436182126318654,0.0,0.2776600446235659,0.13120567375886524,Asse teller 2,Asse,2022-07-14,127
32,2024,11,0.2447566672799147,0.0,0.2705880860287075,0.12765957446808512,Lummen,Lummen,2022-04-14,128
104,2024,11,0.2306920199817273,0.0,0.2794982943757566,0.12056737588652483,Malle teller 2,Malle,2022-08-03,129
124,2024,11,0.0334846399620919,0.0,0.2890945121655728,0.11702127659574468,Beveren teller 2,Beveren,2022-10-06,130
103,2024,11,0.2210300003148668,0.0,0.2775821236015163,0.10638297872340424,Malle teller 1,Malle,2022-08-03,131
40,2024,11,0.2204009179546506,0.0,0.2746217116761169,0.09929078014184398,Peer teller 2,Peer,2022-04-20,132
78,2024,11,0.2442969733739272,0.0,0.2506753451774807,0.0851063829787234,Pepingen teller 1,Pepingen,2022-07-13,133
39,2024,11,0.2130523990246749,0.0,0.2664804338503015,0.07801418439716312,Peer teller 1,Peer,2022-04-20,134
114,2024,11,0.2441271916538946,0.0,0.2491580371461186,0.07446808510638299,Deinze teller 1,Nazareth,2022-09-21,135
105,2024,11,0.2406216833504103,0.0,0.2493786362562491,0.07092198581560283,St. pieters leeuw teller 2,Halle,2022-08-04,136
133,2024,11,0.1988664216970107,0.0,0.2614822551010198,0.05319148936170213,Gierde Lille Totem,Lille,2023-02-15,137
83,2024,11,0.1989785363220575,0.0,0.2514561230419602,0.04609929078014184,Beersel teller 2,Beersel,2022-07-13,138
85,2024,11,0.1759293726930293,0.0,0.2627121077190267,0.04609929078014184,Asse teller 1,Asse,2022-07-14,139
82,2024,11,0.1825891930598077,0.0,0.2526087696046104,0.03900709219858156,Beersel teller 1,Beersel,2022-07-13,140
132,2024,11,0.1443368932263282,0.0,0.2597609561777277,0.035460992907801414,Gierde lille,Lille,2023-02-15,141
