site_id,year,month,crash_count_2_5km,nearest_crash_distance_km,average_crash_distance_km,crash_happened_in_month_2_5km
52,2021,3,9,0.5795263910714213,1.6740047642129854,1
52,2021,4,10,1.4254333991925878,2.0486078333818796,1
52,2021,5,11,0.9100886745118026,1.6848047032623215,1
52,2021,6,9,0.1715996269259536,1.779290797809785,1
52,2021,7,11,0.9989788146726948,1.7233261117290086,1
52,2021,8,7,0.5579429310919286,1.6317442751325086,1
52,2021,9,16,0.2240957027614604,1.771299510998432,1
52,2021,10,19,0.9944874099754132,2.0465496039486304,1
52,2021,11,9,1.0964963216366257,1.817304450172518,1
52,2021,12,6,1.1699198711069427,1.6918221185444482,1
52,2022,1,10,1.542688268604722,1.9400326848596674,1
52,2022,2,16,1.1514226234603644,2.0598694734701923,1
52,2022,3,16,0.228595227394431,1.7036677766451116,1
52,2022,4,15,1.008203002230558,1.7964185872672325,1
52,2022,5,26,0.2285952368516227,1.733372051001448,1
52,2022,6,8,1.046536647905464,1.697062210775608,1
52,2022,7,15,0.6682172016202621,1.6146653414985377,1
52,2022,8,16,0.5579432556381424,1.618635524218009,1
52,2022,9,19,0.4718967874814403,1.5941459816761991,1
52,2022,10,14,0.036539506229796,1.7239990001721284,1
52,2022,11,16,0.6905578438416224,1.706980096805488,1
52,2022,12,13,1.506598250985742,2.056950491028594,1
52,2023,1,6,1.9358048153816168,2.1783265866040287,1
52,2023,2,8,1.0320567261304456,1.6413174115155789,1
52,2023,3,18,1.008203012619383,1.8009752639397272,1
52,2023,4,14,0.0484342491092603,1.7442777855818312,1
52,2023,5,18,0.5706715429904587,1.570192915818746,1
52,2023,6,14,0.1608746508150268,1.4879959106047795,1
52,2023,7,12,1.5641562009735694,2.0825989344681664,1
52,2023,8,16,1.0043498088703238,1.8369806371235744,1
52,2023,9,19,0.6144001529667945,1.635875430300154,1
52,2023,10,16,0.4455088984492905,1.875141229139616,1
52,2023,11,19,0.5930583370450511,1.5004541368711504,1
52,2023,12,10,1.0081109745660828,1.8276214328947067,1
52,2024,1,14,0.2568132194957897,1.5462464838429006,1
52,2024,2,9,0.6728511211033699,1.8755804483271394,1
52,2024,3,17,1.1154284318045813,1.7375613146204094,1
52,2024,4,5,0.2592015726001352,1.6421023754752526,1
52,2024,5,16,0.2285952852988824,1.5603384892069958,1
52,2024,6,15,1.314668953032914,1.9271245679013191,1
52,2024,7,14,1.067960858182208,1.9279715185951272,1
52,2024,8,10,0.5585294820787826,1.9678433843859082,1
52,2024,9,11,0.3495900964470501,1.714424886098187,1
52,2024,10,18,0.8421543415633221,1.8096974551711815,1
52,2024,11,13,0.0484342491092603,1.7543589131074495,1
52,2024,12,8,0.8812595607957624,1.5613976692180729,1
53,2017,1,8,0.653488609438449,1.3607519070183778,1
53,2017,2,16,1.448526738175727,2.0225238551540676,1
53,2017,3,15,0.8099015579962003,1.5961096393927072,1
53,2017,4,10,0.851789902219798,1.6938731708334456,1
53,2017,5,14,0.9319795598912916,1.9465105029315073,1
53,2017,6,14,0.8192557229996311,1.805425428604045,1
53,2017,7,13,0.7854304865202691,1.7913741273797692,1
53,2017,8,13,0.0957863198497724,1.482497934449095,1
53,2017,9,17,0.2619455487911307,1.544389774932507,1
53,2017,10,11,0.3287576108924129,1.806266641293063,1
53,2017,11,17,0.3120601105811238,1.9032447326288775,1
53,2017,12,18,1.030801411283049,1.7507935479521708,1
53,2018,1,8,0.7182938755890873,1.6032467922036209,1
53,2018,2,14,0.0546145038340862,1.4523813998848776,1
53,2018,3,13,0.9881663049619406,1.7355439312882885,1
53,2018,4,21,0.0862613187435329,1.4973758192232576,1
53,2018,5,16,1.1773534528416074,1.8083363686850022,1
53,2018,6,12,0.6908956496055395,1.4344868940133162,1
53,2018,7,9,1.0234828402620777,1.7052322644399664,1
53,2018,8,11,0.8838786970187598,1.4149581558691404,1
53,2018,9,11,0.444945837374764,1.7049497066965953,1
53,2018,10,16,0.7720056133789822,1.8617864377727533,1
53,2018,11,14,0.7737797380511735,1.777117178111016,1
53,2018,12,12,0.3120601105811238,1.6565396867576483,1
53,2019,1,15,0.7876870005562415,1.9701308072850838,1
53,2019,2,12,0.9244709348231476,1.8307650509600386,1
53,2019,3,11,0.3979713668975683,1.6513078211917447,1
53,2019,4,15,1.0674839017654043,1.9246769538988147,1
53,2019,5,13,0.7435324481873867,1.638690698613811,1
53,2019,6,14,0.4846338531030721,1.7631114025292607,1
53,2019,7,14,0.9323015794767424,1.6564346446515794,1
53,2019,8,12,0.851789902219798,1.6705357298433068,1
53,2019,9,8,1.7091216370628108,2.005697548070305,1
53,2019,10,9,0.9982931218983075,1.7960482812883025,1
53,2019,11,7,1.0518642568037426,1.4459468475694304,1
53,2019,12,8,0.9779023507403432,1.8605043399113037,1
53,2020,1,12,0.3451651644730419,1.7229242537300895,1
53,2020,2,14,1.005678352908166,1.9855357859852436,1
53,2020,3,11,0.4449234637048967,1.1936662459699592,1
53,2020,4,2,0.93853847276813,0.9952013647859363,1
53,2020,5,6,0.9055191790835048,1.715379271357385,1
53,2020,6,10,0.8917747040548334,1.4382451743665734,1
53,2020,7,12,0.6350070770860625,1.7361679215260066,1
53,2020,8,8,0.5815438529042422,1.6642167383477682,1
53,2020,9,10,0.2980606138576051,1.7637949708905534,1
53,2020,10,13,0.059950975093986,1.49871363333672,1
53,2020,11,9,0.2544697055422117,1.48517611045745,1
