model,threshold,accuracy,precision,recall,f1,balanced_precision_recall,tn,fp,fn,tp
logistic_regression,0.35,0.5314769975786925,0.3712737127371274,0.8404907975460123,0.5150375939849624,0.6058822551415699,467,696,78,411
logistic_regression,0.36,0.5429782082324455,0.37662337662337664,0.8302658486707567,0.5181876196553925,0.6034446126470667,491,672,83,406
logistic_regression,0.37,0.5569007263922519,0.3841754051477598,0.8241308793456033,0.5240572171651495,0.6041531422466815,517,646,86,403
logistic_regression,0.38,0.5641646489104116,0.3864306784660767,0.803680981595092,0.5219123505976095,0.5950558300305844,539,624,96,393
logistic_regression,0.39,0.5690072639225182,0.3881644934804413,0.7914110429447853,0.5208613728129206,0.5897877682126133,553,610,102,387
logistic_regression,0.4,0.5750605326876513,0.39076923076923076,0.7791411042944786,0.5204918032786885,0.5849551675318547,569,594,108,381
logistic_regression,0.41,0.5871670702179177,0.39744952178533477,0.7648261758691206,0.5230769230769231,0.5811378488272276,596,567,115,374
logistic_regression,0.42,0.5950363196125908,0.40153172866520787,0.7505112474437627,0.5231646471846044,0.5760214880544853,616,547,122,367
logistic_regression,0.43,0.6047215496368039,0.40765765765765766,0.7402862985685071,0.5257806826434277,0.5739719781130824,637,526,127,362
logistic_regression,0.44,0.6113801452784504,0.41135573580533025,0.7259713701431493,0.5251479289940828,0.5686635529742398,655,508,134,355
logistic_regression,0.45,0.6168280871670703,0.4148936170212766,0.7177914110429447,0.5258426966292135,0.5663425140321107,668,495,138,351
logistic_regression,0.46,0.6253026634382567,0.42073170731707316,0.7055214723926381,0.5271199388846448,0.5631265898548556,688,475,144,345
logistic_regression,0.47,0.6307506053268765,0.42312579415501905,0.6809815950920245,0.5219435736677116,0.5520536946235217,709,454,156,333
logistic_regression,0.48,0.639225181598063,0.42932628797886396,0.6646216768916156,0.521669341894061,0.5469739824352398,731,432,164,325
logistic_regression,0.49,0.6458837772397095,0.43460490463215257,0.6523517382413088,0.5216680294358136,0.5434783214367307,748,415,170,319
logistic_regression,0.5,0.6531476997578692,0.4410112359550562,0.6421267893660532,0.5228975853455454,0.5415690126605547,765,398,175,314
logistic_regression,0.51,0.6585956416464891,0.44619799139167865,0.6359918200408998,0.524451939291737,0.5410949057162893,777,386,178,311
logistic_regression,0.52,0.662227602905569,0.4484304932735426,0.6134969325153374,0.5181347150259067,0.53096371289444,794,369,189,300
logistic_regression,0.53,0.6664648910411622,0.4523076923076923,0.6012269938650306,0.5162423178226514,0.5267673430863615,807,356,195,294
logistic_regression,0.54,0.6749394673123487,0.46153846153846156,0.588957055214724,0.5175202156334232,0.5252477583765928,827,336,201,288
logistic_regression,0.55,0.6803874092009685,0.4674457429048414,0.5725971370143149,0.5147058823529411,0.5200214399595782,844,319,209,280
logistic_regression,0.56,0.6852300242130751,0.47294938917975565,0.5541922290388548,0.5103578154425612,0.5135708091093052,861,302,218,271
logistic_regression,0.57,0.6937046004842615,0.484629294755877,0.5480572597137015,0.5143953934740882,0.5163432772347892,878,285,221,268
logistic_regression,0.58,0.6979418886198547,0.49070631970260226,0.5398773006134969,0.5141187925998053,0.5152918101580496,889,274,225,264
logistic_regression,0.59,0.6991525423728814,0.49233716475095785,0.5255623721881391,0.5084075173095944,0.5089497684695484,898,265,232,257
logistic_regression,0.6,0.7058111380145279,0.5029821073558648,0.5173824130879345,0.5100806451612904,0.5101822602218997,913,250,236,253
logistic_regression,0.61,0.715496368038741,0.5197505197505198,0.5112474437627812,0.5154639175257731,0.5154989817566504,932,231,239,250
logistic_regression,0.62,0.7185230024213075,0.5258620689655172,0.49897750511247446,0.5120671563483735,0.5124197870389958,943,220,245,244
logistic_regression,0.63,0.7233656174334141,0.5355555555555556,0.49284253578732107,0.5133120340788072,0.5141990456714383,954,209,248,241
logistic_regression,0.64,0.7263922518159807,0.5419501133786848,0.4887525562372188,0.513978494623656,0.5153513348079518,961,202,250,239
logistic_regression,0.65,0.7282082324455206,0.5467289719626168,0.4785276073619632,0.5103598691384951,0.51262828966229,969,194,255,234
logistic_regression,0.66,0.7318401937046005,0.5552884615384616,0.4723926380368098,0.5104972375690607,0.5138405497876357,978,185,258,231
logistic_regression,0.67,0.7318401937046005,0.556930693069307,0.4601226993865031,0.503919372900336,0.508526696227905,984,179,264,225
logistic_regression,0.68,0.7348668280871671,0.5658914728682171,0.44785276073619634,0.5,0.5068721168022067,995,168,270,219
logistic_regression,0.69,0.7360774818401937,0.5702917771883289,0.4396728016359918,0.49653579676674364,0.5049822894121604,1001,162,274,215
logistic_regression,0.7,0.7348668280871671,0.5694822888283378,0.4274028629856851,0.4883177570093458,0.49844257590701146,1005,158,280,209
logistic_regression,0.71,0.7378934624697336,0.58,0.41513292433537835,0.48390941597139453,0.4975664621676892,1016,147,286,203
logistic_regression,0.72,0.7360774818401937,0.5791044776119403,0.3967280163599182,0.470873786407767,0.4879162469859293,1022,141,295,194
logistic_regression,0.73,0.7403147699757869,0.59375,0.3885480572597137,0.46971569839307786,0.4911490286298569,1033,130,299,190
logistic_regression,0.74,0.7397094430992736,0.5960912052117264,0.37423312883435583,0.45979899497487436,0.48516216702304116,1039,124,306,183
logistic_regression,0.75,0.7391041162227603,0.5966666666666667,0.3660531697341513,0.45373891001267425,0.481359918200409,1042,121,310,179
logistic_regression,0.76,0.7415254237288136,0.6083916083916084,0.3558282208588957,0.44903225806451613,0.4821099146252521,1051,112,315,174
