site_id,months_observed,total_crashes_500m,average_monthly_crashes_500m,total_cyclists,average_monthly_cyclists,crash_month_share,crashes_per_10000_cyclists,smoothed_crashes_per_10000_cyclists,naam,gemeente,datum_van,historical_risk_rank
118,26,34.0,1.3076923076923077,727944.0,27997.846153846152,0.6923076923076923,0.467068895409537,0.46507095704814644,Gent teller 1,Gent,2022-10-04,42
117,27,13.0,0.48148148148148145,279684.0,10358.666666666666,0.37037037037037035,0.46481028589408047,0.4597949788955666,Melle teller 1,Melle,2022-10-01,43
34,31,3.0,0.0967741935483871,63764.0,2056.9032258064517,0.0967741935483871,0.4704849131171194,0.44999259640945977,Heers teller 1,Heers,2022-04-15,44
77,29,36.0,1.2413793103448276,797162.0,27488.344827586207,0.6551724137931034,0.4516020583018257,0.4499632637715299,Leuven teller 2,Leuven,2022-07-07,45
57,29,4.0,0.13793103448275862,86206.0,2972.6206896551726,0.10344827586206896,0.46400482565018675,0.4489641456022298,Meulebeke teller 1,Meulebeke,2022-06-03,46
126,26,16.0,0.6153846153846154,359530.0,13828.076923076924,0.5769230769230769,0.44502544989291576,0.4416192187351248,Hamme totem,Hamme,2022-10-25,47
115,27,23.0,0.8518518518518519,520736.0,19286.51851851852,0.6666666666666666,0.44168254163338044,0.4393730457383441,Aalter,Aalter,2022-10-01,48
78,29,3.0,0.10344827586206896,68457.0,2360.5862068965516,0.06896551724137931,0.4382312984793374,0.4230057491125389,Pepingen teller 1,Pepingen,2022-07-13,49
88,29,10.0,0.3448275862068966,238102.0,8210.413793103447,0.27586206896551724,0.4199880723387456,0.41590280049366196,Westerlo teller 1,Westerlo,2022-07-16,50
129,26,9.0,0.34615384615384615,219261.0,8433.115384615385,0.2692307692307692,0.4104697141762557,0.40645549867687397,Lokeren teller 2,Lokeren,2022-10-29,51
23,62,45.0,0.7258064516129032,1114564.0,17976.83870967742,0.5806451612903226,0.40374532104033506,0.4029861244575722,Tienen 3,Tienen,2019-08-31,52
128,26,9.0,0.34615384615384615,223375.0,8591.346153846154,0.2692307692307692,0.4029099048684947,0.39928413373065774,Lokeren teller 1,Lokeren,2022-10-29,53
65,29,21.0,0.7241379310344828,539366.0,18598.827586206895,0.5172413793103449,0.3893460099450095,0.38804849272879716,Nieuwpoort teller 2,Nieuwpoort,2022-06-24,54
70,29,11.0,0.3793103448275862,294571.0,10157.620689655172,0.3448275862068966,0.37342440362425355,0.3715957859764202,Kampenhout teller 1,Kampenhout,2022-07-07,55
55,29,5.0,0.1724137931034483,135949.0,4687.896551724138,0.1724137931034483,0.3677849781903508,0.36434524831420567,Torhout teller 1,Torhout,2022-06-02,56
29,31,4.0,0.12903225806451613,109486.0,3531.8064516129034,0.12903225806451613,0.3653435142392635,0.3613411890946121,Tongeren,Tongeren,2022-04-14,57
59,29,4.0,0.13793103448275862,110120.0,3797.2413793103447,0.13793103448275862,0.3632401017072285,0.3594307738149301,Ardooie teller 1,Ardooie,2022-06-03,58
71,29,11.0,0.3793103448275862,306965.0,10585.0,0.3448275862068966,0.3583470428224716,0.35705627226849873,Kampenhout teller 2,Kampenhout,2022-07-07,59
127,26,13.0,0.5,370909.0,14265.73076923077,0.34615384615384615,0.35049028198291227,0.3496184856488232,Geel totem,Westerlo,2022-10-26,60
82,29,2.0,0.06896551724137931,56526.0,1949.1724137931035,0.06896551724137931,0.3538194813006404,0.34832342550685,Beersel teller 1,Beersel,2022-07-13,61
136,22,8.0,0.36363636363636365,228956.0,10407.09090909091,0.3181818181818182,0.3494121141179965,0.34806622082775285,Gent R4,Gent,2023-03-01,62
3,62,40.0,0.6451612903225806,1170432.0,18877.935483870966,0.43548387096774194,0.3417541557305337,0.3415454552980021,Brasschaat 1,Brasschaat,2019-08-22,63
69,29,68.0,2.3448275862068964,1993799.0,68751.68965517242,0.896551724137931,0.3410574486194446,0.3409379190501167,Leuven teller 1,Leuven,2022-07-07,64
10,62,18.0,0.2903225806451613,529926.0,8547.193548387097,0.22580645161290322,0.3396700671414499,0.3392515234924949,Aalst 2,Aalst,2019-08-22,65
76,29,8.0,0.27586206896551724,243727.0,8404.379310344828,0.2413793103448276,0.3282361002268932,0.3277868930816199,Heverlee teller 2,Leuven,2022-07-07,66
49,30,10.0,0.3333333333333333,322550.0,10751.666666666666,0.3,0.3100294527980158,0.3102234577110879,Bokrijk,Genk,2022-06-01,67
124,25,7.0,0.28,228990.0,9159.6,0.28,0.30569020481243725,0.3061382464594023,Beveren teller 2,Beveren,2022-10-06,68
56,29,5.0,0.1724137931034483,164867.0,5685.068965517241,0.1724137931034483,0.30327476086785105,0.30402276599391437,Torhout teller 2,Torhout,2022-06-02,69
21,62,14.0,0.22580645161290322,462798.0,7464.4838709677415,0.1774193548387097,0.30250778957558155,0.30280013920639803,Bilzen,Bilzen,2019-08-31,70
2,62,38.0,0.6129032258064516,1274996.0,20564.451612903227,0.4032258064516129,0.2980401507141983,0.298181753386775,Brasschaat 2,Brasschaat,2019-08-22,71
53,29,10.0,0.3448275862068966,337297.0,11630.931034482759,0.27586206896551724,0.29647462029013005,0.2970429592838185,Brugge teller 1,Brugge,2022-06-02,72
26,39,18.0,0.46153846153846156,618625.0,15862.179487179486,0.41025641025641024,0.2909678722974338,0.2913676256910021,Zaventem,Zaventem,2021-08-06,73
125,26,26.0,1.0,931966.0,35844.846153846156,0.5384615384615384,0.2789801344684248,0.27937158295024284,Dendermonde totem,Dendermonde,2022-10-22,74
113,27,5.0,0.18518518518518517,182320.0,6752.592592592592,0.18518518518518517,0.27424308907415534,0.27640353841641957,Deinze teller 2,Deinze,2022-09-21,75
54,29,10.0,0.3448275862068966,368707.0,12714.034482758621,0.27586206896551724,0.2712180674627821,0.2723929379468831,Brugge teller 2,Brugge,2022-06-02,76
140,19,29.0,1.5263157894736843,1094415.0,57600.78947368421,0.631578947368421,0.26498174823992726,0.2654398006072008,Hasselt ring,Hasselt,2023-05-04,77
67,29,7.0,0.2413793103448276,267089.0,9209.965517241379,0.20689655172413793,0.2620849230031937,0.2640141155393766,Ieper totem,Ieper,2022-06-30,78
68,29,7.0,0.2413793103448276,271224.0,9352.551724137931,0.20689655172413793,0.2580892546382326,0.2601293513753554,Ieper,Ieper,2022-06-30,79
48,30,14.0,0.4666666666666667,548107.0,18270.233333333334,0.26666666666666666,0.255424579507286,0.25649898304667035,As,As,2022-06-01,80
9,62,17.0,0.27419354838709675,666557.0,10750.91935483871,0.24193548387096775,0.25504195440149907,0.2559337393658465,Heist op den Berg 2,Heist-op-den-Berg,2019-08-22,81
11,62,18.0,0.2903225806451613,708050.0,11420.161290322581,0.24193548387096775,0.2542193347927406,0.2550707991028417,Aalst 3,Aalst,2019-08-22,82
38,31,6.0,0.1935483870967742,241795.0,7799.8387096774195,0.12903225806451613,0.24814408900101326,0.2508100646809533,Lommel teller 2,Lommel,2022-04-20,83
47,30,15.0,0.5,621803.0,20726.766666666666,0.4666666666666667,0.2412339599519462,0.24240310574688242,Vilvoorde,Vilvoorde,2022-05-19,84
122,26,23.0,0.8846153846153846,966453.0,37171.269230769234,0.5,0.23798363707288403,0.23877265021716074,Dendermonde teller 2,Dendermonde,2022-10-05,85
1,62,17.0,0.27419354838709675,721774.0,11641.516129032258,0.25806451612903225,0.2355307894160776,0.23661653987985856,Machelen,Machelen,2019-08-22,86
8,62,13.0,0.20967741935483872,552929.0,8918.209677419354,0.20967741935483872,0.2351115604354266,0.23653038717488023,Heist op den Berg 1,Heist-op-den-Berg,2019-08-22,87
97,29,7.0,0.2413793103448276,309891.0,10685.896551724138,0.2413793103448276,0.22588587600156185,0.22866605791023442,Geel teller 1,Geel,2022-07-26,88
139,20,6.0,0.3,267754.0,13387.7,0.25,0.22408628816002749,0.22735206886018244,Houthalen-Helchteren,Houthalen-Helchteren,2023-04-21,89
37,31,5.0,0.16129032258064516,243479.0,7854.1612903225805,0.12903225806451613,0.2053565194534231,0.20965975938524675,Lommel teller 1,Lommel,2022-04-20,90
112,27,9.0,0.3333333333333333,439214.0,16267.185185185184,0.2222222222222222,0.20491150099951277,0.20734855952851453,Geel teller 2,Westerlo,2022-09-06,91
137,20,23.0,1.15,1120640.0,56032.0,0.75,0.20523986293546545,0.2062050193780704,Hasselt-Kempische brug,Hasselt,2023-04-19,92
138,20,23.0,1.15,1139955.0,56997.75,0.85,0.20176235026821235,0.2027409230500487,Hasselt-Kempische brug,Hasselt,2023-04-20,93
98,29,6.0,0.20689655172413793,304024.0,10483.586206896553,0.20689655172413793,0.19735284056521854,0.20107571171474797,Geel teller 2,Geel,2022-07-26,94
79,29,3.0,0.10344827586206896,162790.0,5613.448275862069,0.06896551724137931,0.1842865040850175,0.1917976225729015,Pepingen teller 2,Pepingen,2022-07-13,95
121,26,5.0,0.19230769230769232,277530.0,10674.23076923077,0.15384615384615385,0.18016070334738588,0.18481302764686885,Zele teller 2,Zele,2022-10-05,96
13,62,25.0,0.4032258064516129,1368476.0,22072.1935483871,0.3064516129032258,0.18268497218803983,0.18363689356653207,Gent,Gent,2019-08-22,97
39,31,3.0,0.0967741935483871,171147.0,5520.870967741936,0.0967741935483871,0.1752879103928202,0.18293931745643288,Peer teller 1,Peer,2022-04-20,98
31,31,6.0,0.1935483870967742,339716.0,10958.58064516129,0.1935483870967742,0.17661811630891686,0.18054198458761292,Herk De Stad,Herk-de-Stad,2022-04-14,99
30,31,6.0,0.1935483870967742,340750.0,10991.935483870968,0.1935483870967742,0.1760821716801174,0.18000944350657636,Herk De Stad,Herk-de-Stad,2022-04-14,100
52,30,13.0,0.43333333333333335,794678.0,26489.266666666666,0.36666666666666664,0.16358827097264553,0.1654517083986852,Brugge,Brugge,2022-06-01,101
