site_id,site_name,site_gemeente,crash_count_2_5km,nearest_crash_distance_km,average_crash_distance_km
21,Bilzen,Bilzen,316,0.01717270497895734,1.3875730519038496
147,Overijse,District Vilvoorde-gewestwegen,309,0.1815717239790354,1.4021072520416673
112,Geel teller 2,Westerlo,306,0.014675647042203801,1.2828113338730065
127,Geel totem,Westerlo,302,0.06773411954947493,1.2723046738762405
81,Wemmel teller 2,Wemmel,292,0.04935613594304846,1.7845964407342318
113,Deinze teller 2,Deinze,291,0.04046298476540709,1.6479687603168824
92,Nijlen teller 1,Nijlen,288,0.08258608552870263,1.7332990187223554
93,Nijlen teller 2,Nijlen,288,0.07710784450357656,1.7321251625570069
86,Asse teller 2,Asse,279,0.062257289063667155,1.6777850118322621
114,Deinze teller 1,Nazareth,279,0.026424917557424564,1.6164288553979582
85,Asse teller 1,Asse,274,0.11355431675110492,1.9318807140994732
72,Herent teller 1,Herent,248,0.018331413873627384,1.767279237099368
73,Herent teller 2,Herent,247,0.01616298835069047,1.7646780591452904
89,Westerlo teller 2,Westerlo,245,0.06746463618591157,1.3669537944747794
88,Westerlo teller 1,Westerlo,245,0.05596843405448943,1.3616360489184764
139,Houthalen-Helchteren,Houthalen-Helchteren,238,0.06827626868935902,1.2333988731535757
115,Aalter,Aalter,234,0.026961428983974255,1.4611462223867782
59,Ardooie teller 1,Ardooie,231,0.16495544913891386,1.3502146266015398
60,Ardooie teller 2,Ardooie,230,0.12516915859195338,1.34795970301559
64,Nieuwpoort teller 1,Nieuwpoort,218,0.028785975763055346,1.0496483098629967
148,Hoeilaart,District Leuven,217,0.03866722968465013,1.1330575421589104
65,Nieuwpoort teller 2,Nieuwpoort,214,0.06265144275540734,1.0084586083212712
32,Lummen,Lummen,202,0.18373140525730966,1.9366589452730028
71,Kampenhout teller 2,Kampenhout,197,0.046804426730231025,1.3524656109868125
70,Kampenhout teller 1,Kampenhout,196,0.09539583644069878,1.33641582989384
66,Nieuwpoort totem,Nieuwpoort,194,0.1621432089471809,1.1418050604422507
33,Lummen,Lummen,192,0.16646371964146672,1.9042271673229731
134,Retie,Dessel,192,0.044449964868359955,1.6231117614288564
135,Retie 2,Dessel,191,0.015266503881573957,1.618976882150927
63,Nieuwpoort teller 3,Nieuwpoort,189,0.24399695515215553,1.158896844588463
35,Lanaken teller 1,Lanaken,185,0.026948361852227615,1.6984293793290617
152,Opwijk,District Vilvoorde-gewestwegen,184,0.08082439130923798,1.6920595268786243
36,Lanaken teller 2,Lanaken,184,0.11824239299490918,1.723241498808064
48,As,As,175,0.09061323399978127,1.380734009155295
43,Maaseik teller 1,Maaseik,171,0.017000579609025755,1.240515401696898
44,Maaseik teller 2,Maaseik,171,0.02430369582660021,1.241349355723892
133,Gierde Lille Totem,Lille,167,0.07805122862247324,1.4824646540484214
132,Gierde lille,Lille,167,0.08959180863762221,1.4871859999691472
106,St. pieters leeuw teller 1,Sint-Pieters-Leeuw,165,0.031392089600426915,1.4836271253927549
105,St. pieters leeuw teller 2,Halle,164,0.03994840936386379,1.4907753001186301
103,Malle teller 1,Malle,158,0.030904426459748443,1.7365164254457202
5,Balen 2,Balen,157,0.09658716666606162,1.6284670575558438
4,Balen 1,Balen,157,0.0974555955845561,1.6282658828666061
104,Malle teller 2,Malle,157,0.01950822475075023,1.7319020387189068
40,Peer teller 2,Peer,156,0.05144660575089634,1.5771122632496746
39,Peer teller 1,Peer,155,0.03968796995052111,1.5478799832123193
150,Bertem,District Leuven,153,0.04115141592224515,1.8173904345280756
31,Herk De Stad,Herk-de-Stad,143,0.0300005173127875,1.279516486232622
30,Herk De Stad,Herk-de-Stad,142,0.06752999637106614,1.2588845361972603
49,Bokrijk,Genk,134,0.06256988158124158,1.5877299901618211
90,Brecht teller 1,Brecht,111,0.10430020414622118,1.5204568941838508
91,Brecht teller 2,Brecht,111,0.0944409691307998,1.5125217504468116
29,Tongeren,Tongeren,97,0.10514228806210864,1.5998414655269808
57,Meulebeke teller 1,Meulebeke,90,0.11122304491530548,1.7773494488392405
58,Meulebeke teller 2,Meulebeke,89,0.14745839361951682,1.7753752980102784
131,Nevele,Deinze,84,0.2566346693833416,1.5381923426467043
83,Beersel teller 2,Beersel,61,0.03941961458775691,1.733580367309452
82,Beersel teller 1,Beersel,54,0.09251809118953319,1.682814651587414
28,Heers,Heers,43,0.03447197349641698,1.367494932952239
34,Heers teller 1,Heers,43,0.039744820979494014,1.3686760420503523
79,Pepingen teller 2,Pepingen,40,0.029615318746782908,1.274623402407736
78,Pepingen teller 1,Pepingen,40,0.014930343558190519,1.2783176739692599
