site_id,site_name,site_gemeente,crash_count_500m,nearest_crash_distance_km,average_crash_distance_km
39,Peer teller 1,Peer,10,0.03968796995052111,0.2330810452716623
28,Heers,Heers,9,0.03447197349641698,0.2844364074060792
34,Heers teller 1,Heers,9,0.039744820979494014,0.2835040108897067
40,Peer teller 2,Peer,9,0.05144660575020083,0.23485032677027565
57,Meulebeke teller 1,Meulebeke,9,0.11122304491530548,0.24346502455723856
58,Meulebeke teller 2,Meulebeke,9,0.14745839361951682,0.2714270945590079
152,Opwijk,District Vilvoorde-gewestwegen,9,0.08082439130893646,0.26818616292690683
51,"Brugge, Sint-Andries",Brugge,8,0.12050532556347318,0.25648760410477206
93,Nijlen teller 2,Nijlen,8,0.07710784450357656,0.3076632718347544
92,Nijlen teller 1,Nijlen,8,0.08258608552870263,0.3126624417081792
36,Lanaken teller 2,Lanaken,8,0.11824239299490918,0.34295582814280046
50,"Brugge, Sint-Andries",Brugge,8,0.11675710509298427,0.2540652088752692
141,Test site A support,Lokeren,8,0.2912124967180961,0.4050620816340048
35,Lanaken teller 1,Lanaken,7,0.026948361852227615,0.27399709656998905
83,Beersel teller 2,Beersel,6,0.03941961458845438,0.14310688043776096
131,Nevele,Deinze,6,0.2566346693833416,0.3205310302819312
84,Roeselare totem,Izegem,5,0.028871458631603647,0.2676982422357911
82,Beersel teller 1,Beersel,5,0.09251809119022991,0.1261060023455198
104,Malle teller 2,Malle,5,0.01950822475028515,0.20959414128977047
103,Malle teller 1,Malle,5,0.030904426459480317,0.21644400832525532
90,Brecht teller 1,Brecht,4,0.10430020414622118,0.17117042690782225
91,Brecht teller 2,Brecht,4,0.0944409691307998,0.16121343912571764
85,Asse teller 1,Asse,3,0.11355431675110492,0.2198591932140533
132,Gierde lille,Lille,3,0.08959180863762221,0.1870883451371711
133,Gierde Lille Totem,Lille,3,0.07805122862247324,0.1832104986154738
33,Lummen,Lummen,1,0.16646371964146672,0.16646371964146672
32,Lummen,Lummen,1,0.18373140525730966,0.18373140525730966
